-132;113;-31;1695057025742;world
-158;119;-63;1695321015104;world
-163;117;-63;1695321023999;world
-128;113;-31;1695057028273;world
-163;117;-56;1695321033601;world
-158;118;-56;1695321011015;world
-128;112;-31;1695057010533;world
-163;116;-56;1695321033258;world
-159;120;-56;1695321037008;world
-161;120;-63;1695321028256;world
-163;120;-61;1695321046908;world
-163;120;-62;1695321046558;world
-163;120;-63;1695321025550;world
-163;120;-57;1695321048801;world
-163;120;-58;1695321048000;world
-157;115;-38;1695032015214;world
-163;116;-63;1695321023550;world
-159;120;-63;1695321027399;world
-163;120;-59;1695321047653;world
-163;120;-60;1695321047300;world
-130;112;-31;1695057012214;world
-161;120;-56;1695321037863;world
-132;112;-31;1695057008813;world
-158;118;-63;1695321014608;world
-163;120;-56;1695321035817;world
-158;117;-56;1695321010562;world
-163;119;-63;1695321024852;world
-157;114;-38;1695032014710;world
-270;143;-120;1695236617990;world
-158;117;-63;1695321013997;world
-163;119;-56;1695321035002;world
-158;120;-56;1695321012206;world
-158;120;-57;1695321044454;world
-158;116;-56;1695321010114;world
-163;118;-63;1695321024452;world
-162;120;-63;1695321028805;world
-157;113;-38;1695032012769;world
-158;120;-62;1695321040999;world
-158;120;-63;1695321017291;world
-160;120;-63;1695321027750;world
-129;112;-31;1695057012566;world
-160;120;-56;1695321037453;world
-158;120;-58;1695321043438;world
-158;116;-63;1695320976054;world
-163;118;-56;1695321034094;world
-158;120;-59;1695321042608;world
-131;112;-31;1695057011763;world
-162;120;-56;1695321038300;world
-158;120;-60;1695321042002;world
-158;120;-61;1695321041483;world
-158;119;-56;1695321011659;world
