-143;118;9;1695057320205;world
-145;118;9;1695057315100;world
-193;120;4;1695059430526;world
-225;117;2;1695059708962;world
-227;117;2;1695059713598;world
-132;112;4;1695056985793;world
-222;119;4;1695058903307;world
-221;117;2;1695059705601;world
-223;117;2;1695059708508;world
-147;118;9;1695057313956;world
-202;117;2;1695059144311;world
-183;118;16;1695060546455;world
-181;118;14;1695060555466;world
-181;118;15;1695060555804;world
-204;117;2;1695059146962;world
-185;118;16;1695060545651;world
-204;117;3;1695059137209;world
-200;117;2;1695059142893;world
-181;118;16;1695060547306;world
-193;119;4;1695059430956;world
-218;117;2;1695059704961;world
-129;112;4;1695056920415;world
-220;117;2;1695059705402;world
-131;112;4;1695056916812;world
-214;117;2;1695059702481;world
-216;117;2;1695059704567;world
-210;117;2;1695059701663;world
-212;117;2;1695059702102;world
-206;117;2;1695059147617;world
-187;118;16;1695060544908;world
-208;117;2;1695059149365;world
-189;118;16;1695060518513;world
-144;118;9;1695057318017;world
-146;118;9;1695057314520;world
-226;117;2;1695059713153;world
-228;117;2;1695059714974;world
-222;117;2;1695059705803;world
-193;118;4;1695059431462;world
-224;117;2;1695059708749;world
-128;113;4;1695056965226;world
-148;118;2;1695057685722;world
-148;118;3;1695235149640;world
-148;118;10;1695057309157;world
-201;117;2;1695059143160;world
-182;118;16;1695060546849;world
-203;117;2;1695059144802;world
-184;118;16;1695060546002;world
-201;117;3;1695059138560;world
-199;117;2;1695059142557;world
-132;113;4;1695056969811;world
-222;120;4;1695058903709;world
-193;117;4;1695059490367;world
-128;112;4;1695056994597;world
-217;117;2;1695059704799;world
-130;112;4;1695056917262;world
-219;117;2;1695059705206;world
-213;117;2;1695059702322;world
-215;117;2;1695059704367;world
-148;117;5;1695057681501;world
-148;117;4;1695057682010;world
-209;117;2;1695059701505;world
-148;117;3;1695057682396;world
-148;117;2;1695057684556;world
-211;117;2;1695059701906;world
-205;117;2;1695059145811;world
-186;118;16;1695060545299;world
-148;117;6;1695057681110;world
-207;117;2;1695059148060;world
-188;118;16;1695060544407;world
